ds,yhat
2025-02-05,9558.944970023724
2025-02-06,9577.636583534722
2025-02-07,9582.384821220228
2025-02-10,9588.405179086276
2025-02-11,9589.038985463027
2025-02-12,9593.945843651542
2025-02-13,9608.258444241083
2025-02-14,9607.55880703771
2025-02-17,9592.623787599872
2025-02-18,9585.434789837473
2025-02-19,9582.478423551218
2025-02-20,9589.118071628864
2025-02-21,9581.159632327053
2025-02-24,9548.93745067291
2025-02-25,9538.03274477716
2025-02-26,9532.583537673529
2025-02-27,9538.019962812592
2025-02-28,9530.176154163668
2025-03-03,9505.900132521934
2025-03-04,9499.888271642192
2025-03-05,9500.223603891129
2025-03-06,9512.154884841397
2025-03-07,9511.313094175212
2025-03-10,9508.855143568228
2025-03-11,9509.622360495392
2025-03-12,9516.121001404154
2025-03-13,9533.40009648017
2025-03-14,9536.913805561993
2025-03-17,9540.24835634854
